VIX,FVmean,DTE,OTM,Return
10.290,11.149,308.494,16.094,1.007
10.290,12.021,339.588,34.615,2.162
10.290,12.742,100.562,29.957,2.748
10.290,13.105,150.449,34.615,192.857
10.290,13.437,100.562,34.615,376.071
10.290,13.806,7.580,2.000,106.489
10.290,14.236,7.580,2.000,114.906
10.290,14.577,35.558,13.082,78.113
10.290,16.949,25.544,13.082,172.895
10.290,17.548,7.580,2.900,196.844
10.290,17.957,7.580,3.823,244.448
11.870,11.149,308.494,29.957,-1.264
11.870,12.021,553.533,16.094,0.154
11.870,12.742,74.408,26.681,144.545
11.870,13.105,35.558,21.683,99.643
11.870,13.437,35.558,19.639,327.857
11.870,13.806,60.592,24.006,466.071
11.870,14.236,35.558,21.683,54.643
11.870,14.577,7.580,2.000,61.824
11.870,14.917,74.408,29.957,52.326
11.870,15.246,74.408,29.957,61.071
11.870,15.665,74.408,24.006,58.947
11.870,16.295,7.580,6.806,107.419
11.870,16.949,7.580,2.900,219.107
11.870,17.548,7.580,2.900,190.534
11.870,17.957,7.580,2.900,219.263
12.440,11.149,248.362,7.922,-1.743
12.440,12.021,35.558,21.683,12.857
12.440,12.742,45.564,29.957,60.000
12.440,13.105,60.592,26.681,263.571
12.440,13.437,35.558,19.639,245.455
12.440,13.806,100.562,34.615,12.857
12.440,14.236,35.558,9.124,22.041
12.440,14.577,35.558,24.006,54.545
12.440,14.917,35.558,24.006,54.643
12.440,15.246,25.544,10.382,94.932
12.440,15.665,7.580,2.000,99.524
12.440,16.295,7.580,2.900,127.031
12.440,16.949,7.580,2.000,69.237
12.440,17.957,7.580,3.823,235.624
12.440,18.757,7.580,6.806,1477.297
12.440,20.805,7.580,4.769,1246.494
12.870,11.149,553.533,34.615,-2.048
12.870,12.021,60.592,29.957,25.714
12.870,12.742,25.544,17.778,7.500
12.870,13.105,35.558,21.683,109.286
12.870,13.437,87.522,34.615,41.786
12.870,13.806,87.522,29.957,12.857
12.870,14.236,35.558,24.006,35.455
12.870,14.577,35.558,24.006,54.643
12.870,14.917,113.560,34.615,61.071
12.870,15.246,7.580,7.922,55.102
12.870,15.665,25.544,17.778,88.637
12.870,16.295,35.558,16.094,60.698
12.870,16.949,7.580,2.000,108.490
12.870,17.548,25.544,16.094,1423.421
12.870,17.957,45.564,16.094,943.969
12.870,19.655,7.580,9.124,1456.216
12.870,20.805,7.580,5.758,1614.578
12.870,23.167,7.580,5.758,1066.056
13.250,11.149,113.560,34.615,57.273
13.250,12.021,389.421,2.900,-1.840
13.250,12.742,553.533,2.000,-0.924
13.250,13.105,35.558,21.683,12.558
13.250,13.437,7.580,11.714,1.429
13.250,13.806,87.522,34.615,38.571
13.250,14.236,35.558,21.683,35.625
13.250,14.577,7.580,13.082,77.143
13.250,14.917,7.580,13.082,83.571
13.250,15.246,7.580,13.082,85.178
13.250,15.665,25.544,13.082,79.138
13.250,16.295,7.580,16.094,109.286
13.250,16.949,25.544,16.094,908.182
13.250,17.548,25.544,16.094,1342.895
13.250,17.957,25.544,11.714,1013.878
13.250,18.757,7.580,5.758,740.161
13.250,19.655,7.580,9.124,1417.925
13.250,20.805,7.580,9.124,1559.249
13.250,23.167,7.580,4.769,555.060
13.620,11.149,113.560,34.615,22.358
13.620,12.021,553.533,2.900,-2.039
13.620,12.742,339.588,2.000,-0.470
13.620,13.105,60.592,29.957,38.571
13.620,13.437,100.562,29.957,218.182
13.620,13.806,35.558,24.006,49.091
13.620,14.236,7.580,13.082,125.357
13.620,14.577,35.558,21.683,54.545
13.620,14.917,25.544,16.094,25.714
13.620,15.246,74.408,29.957,60.000
13.620,15.665,87.522,26.681,361.276
13.620,16.295,25.544,17.778,760.909
13.620,16.949,25.544,16.094,732.558
13.620,17.548,7.580,6.806,83.237
13.620,17.957,150.449,34.615,170.585
13.620,18.757,25.544,16.094,544.736
13.620,19.655,7.580,5.758,777.692
13.620,20.805,7.580,7.922,1484.538
13.620,23.167,7.580,9.124,458.182
13.980,11.149,248.362,2.000,-7.278
13.980,12.021,553.533,2.900,-1.774
13.980,12.742,74.408,29.957,4.737
13.980,13.105,60.592,29.957,38.571
13.980,13.437,100.562,29.957,229.091
